ID	IsHide	LastName	FristName	Desc	Sex	Age	BodyType	Hair	Beard	ClothesStuff	BodyColor	BackStory1	BackStory2	BackStory3	Feature1	Feature2	Feature3	Experience1	Experience2	Experience3	Experience4	Relation1	Relation2	Relation3	Seed	Eyebrows	REye	LEye	Nose	Mouth	Ear	Yinji	Bahen	Shipin	IsCreat
ID	"是否隐藏 1 不参与随机但参与创建
 2 不参与随机也不参与创建"	姓	名	轮回者来源	性别(1男2女)	年龄	身体类型(1正常2壮3胖)	头发ID	胡须ID	衣服主材料	肤色(正常0白1黑2黄3)	背景故事1	背景故事2	背景故事3	附加特性1	附加特性2	附加特性3	经历1	经历2	经历3	经历4	关系1(ID|NAME)	关系2(ID|NAME)	关系3(ID|NAME)		眉毛ID	右眼ID	左眼ID	鼻子ID	嘴巴ID	耳朵ID	印记ID	疤痕ID	饰品ID	创建方式
680603001	1	风	漫婧	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603002	1	风	琛霞	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603003	1	风	漫月	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603004	1	风	欣惠	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603005	1	风	诗菲	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603006	1	风	桃霞	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603007	1	风	婷俊	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603008	1	风	敏莲	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603009	1	风	美橘	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603010	1	风	萱晨	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603011	1	风	漫颖	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603012	1	风	馨曦	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603013	1	风	雪彤	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603014	1	风	沛香	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603015	1	风	薇芸	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603016	1	风	芸橘	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603017	1	风	颖优	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603018	1	风	莉诗	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603019	1	风	芙婧	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603020	1	风	芝杉	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603021	1	风	娜琛	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603022	1	风	昕楠	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603023	1	风	雨媛	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603024	1	风	芳凌	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603025	1	风	杉碧	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603026	1	风	蕾美	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603027	1	风	依薇	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603028	1	风	菲玉	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603029	1	风	妍彤	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603030	1	风	珍彦	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603031	1	风	珊依	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603032	1	风	心冰	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603033	1	风	莉云	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603034	1	风	梅馨	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603035	1	风	露呈	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
680603036	1	风	霞怡	冰云仙宫弟子	2	16	1	3	0	Item_WhiteCloth	1	680602003	680602105	680602239												3	6	6	5	5	1	0	0	2
