ID	IsHide	LastName	FristName	Desc	Sex	Age	BodyType	Hair	Beard	ClothesStuff	BodyColor	BackStory1	BackStory2	BackStory3	Feature1	Feature2	Feature3	Experience1	Experience2	Experience3	Experience4	Relation1	Relation2	Relation3	Seed	Eyebrows	REye	LEye	Nose	Mouth	Ear	Yinji	Bahen	Shipin	IsCreat
ID	"是否隐藏 1 不参与随机但参与创建
 2 不参与随机也不参与创建"	姓	名	轮回者来源	性别(1男2女)	年龄	身体类型(1正常2壮3胖)	头发ID	胡须ID	衣服主材料	肤色(正常0白1黑2黄3)	背景故事1	背景故事2	背景故事3	附加特性1	附加特性2	附加特性3	经历1	经历2	经历3	经历4	关系1(ID|NAME)	关系2(ID|NAME)	关系3(ID|NAME)		眉毛ID	右眼ID	左眼ID	鼻子ID	嘴巴ID	耳朵ID	印记ID	疤痕ID	饰品ID	创建方式
680601001	1	苍	腾杰	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601002	1	苍	锋侠	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601003	1	苍	祯强	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601004	1	苍	博畅	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601005	1	苍	德畅	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601006	1	苍	颜博	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601007	1	苍	泽平	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601008	1	苍	晨栋	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601009	1	苍	强晖	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601010	1	苍	盛勇	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601011	1	苍	恒日	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601012	1	苍	皓柏	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601013	1	苍	轩涛	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601014	1	苍	梁栋	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601015	1	苍	腾祜	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601016	1	苍	鸿信	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601017	1	苍	彬文	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601018	1	苍	初允	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601019	1	苍	涛凯	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601020	1	苍	尧中	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601021	1	苍	中鸿	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601022	1	苍	哲锦	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601023	1	苍	凡仕	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601024	1	苍	奇祜	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601025	1	苍	楷帆	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601026	1	苍	梓日	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601027	1	苍	潍韦	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601028	1	苍	弘沛	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601029	1	苍	信芃	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601030	1	苍	哲康	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601031	1	苍	畅俊	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601032	1	苍	平杰	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601033	1	苍	家吉	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601034	1	苍	平晨	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601035	1	苍	翱尧	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601036	1	苍	德嘉	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601037	1	苍	谛槐	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601038	1	苍	梓锦	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601039	1	苍	钊仕	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601040	1	苍	栋桓	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601041	1	苍	博德	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601042	1	苍	峰成	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601043	1	苍	锐允	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
680601044	1	苍	鹏升	苍风玄府弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602001	680602120	680602237												2	2	2	2	2	1	0	0	0
