ID	IsHide	LastName	FristName	Desc	Sex	Age	BodyType	Hair	Beard	ClothesStuff	BodyColor	BackStory1	BackStory2	BackStory3	Feature1	Feature2	Feature3	Experience1	Experience2	Experience3	Experience4	Relation1	Relation2	Relation3	Seed	Eyebrows	REye	LEye	Nose	Mouth	Ear	Yinji	Bahen	Shipin	IsCreat
ID	"是否隐藏 1 不参与随机但参与创建
 2 不参与随机也不参与创建"	姓	名	轮回者来源	性别(1男2女)	年龄	身体类型(1正常2壮3胖)	头发ID	胡须ID	衣服主材料	肤色(正常0白1黑2黄3)	背景故事1	背景故事2	背景故事3	附加特性1	附加特性2	附加特性3	经历1	经历2	经历3	经历4	关系1(ID|NAME)	关系2(ID|NAME)	关系3(ID|NAME)		眉毛ID	右眼ID	左眼ID	鼻子ID	嘴巴ID	耳朵ID	印记ID	疤痕ID	饰品ID	创建方式
680604001	1	凤	盛诚	凤凰神宗弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602004	680602104	680602240												2	2	2	2	2	1	0	0	0
680604002	1	凤	楷允	凤凰神宗弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602004	680602104	680602240												2	2	2	2	2	1	0	0	0
680604003	1	凤	晓帆	凤凰神宗弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602004	680602104	680602240												2	2	2	2	2	1	0	0	0
680604004	1	凤	康铭	凤凰神宗弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602004	680602104	680602240												2	2	2	2	2	1	0	0	0
680604005	1	凤	裕弘	凤凰神宗弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602004	680602104	680602240												2	2	2	2	2	1	0	0	0
680604006	1	凤	然加	凤凰神宗弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602004	680602104	680602240												2	2	2	2	2	1	0	0	0
680604007	1	凤	升卓	凤凰神宗弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602004	680602104	680602240												2	2	2	2	2	1	0	0	0
680604008	1	凤	良海	凤凰神宗弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602004	680602104	680602240												2	2	2	2	2	1	0	0	0
680604009	1	凤	欣运	凤凰神宗弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602004	680602104	680602240												2	2	2	2	2	1	0	0	0
680604010	1	凤	天逸	凤凰神宗弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602004	680602104	680602240												2	2	2	2	2	1	0	0	0
680604011	1	凤	平锦	凤凰神宗弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602004	680602104	680602240												2	2	2	2	2	1	0	0	0
680604012	1	凤	良凯	凤凰神宗弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602004	680602104	680602240												2	2	2	2	2	1	0	0	0
680604013	1	凤	星勇	凤凰神宗弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602004	680602104	680602240												2	2	2	2	2	1	0	0	0
680604014	1	凤	骞嘉	凤凰神宗弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602004	680602104	680602240												2	2	2	2	2	1	0	0	0
680604015	1	凤	安枫	凤凰神宗弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602004	680602104	680602240												2	2	2	2	2	1	0	0	0
680604016	1	凤	骏梓	凤凰神宗弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602004	680602104	680602240												2	2	2	2	2	1	0	0	0
680604017	1	凤	钊侠	凤凰神宗弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602004	680602104	680602240												2	2	2	2	2	1	0	0	0
